id_subcatalogo,url_subcatalogos,id_pais
165,https://www.rappi.com.mx/catalogo/restaurants/p-1,6
166,https://www.rappi.com.mx/catalogo/restaurants/q-1,6
167,https://www.rappi.com.mx/catalogo/restaurants/r-1,6
168,https://www.rappi.com.mx/catalogo/restaurants/s-1,6
169,https://www.rappi.com.mx/catalogo/restaurants/t-1,6
170,https://www.rappi.com.mx/catalogo/restaurants/u-1,6
171,https://www.rappi.com.mx/catalogo/restaurants/v-1,6
172,https://www.rappi.com.mx/catalogo/restaurants/w-1,6
173,https://www.rappi.com.mx/catalogo/restaurants/x-1,6
174,https://www.rappi.com.mx/catalogo/restaurants/y-1,6
175,https://www.rappi.com.mx/catalogo/restaurants/z-1,6
176,https://www.rappi.com.mx/catalogo/restaurants/numeric-1,6
177,https://www.rappi.com.pe/catalogo/restaurants/b-1,7
178,https://www.rappi.com.pe/catalogo/restaurants/c-1,7
179,https://www.rappi.com.pe/catalogo/restaurants/d-1,7
180,https://www.rappi.com.pe/catalogo/restaurants/e-1,7
181,https://www.rappi.com.pe/catalogo/restaurants/f-1,7
182,https://www.rappi.com.pe/catalogo/restaurants/g-1,7
183,https://www.rappi.com.pe/catalogo/restaurants/h-1,7
184,https://www.rappi.com.pe/catalogo/restaurants/i-1,7
185,https://www.rappi.com.pe/catalogo/restaurants/j-1,7
186,https://www.rappi.com.pe/catalogo/restaurants/k-1,7
187,https://www.rappi.com.pe/catalogo/restaurants/l-1,7
188,https://www.rappi.com.pe/catalogo/restaurants/m-1,7
189,https://www.rappi.com.pe/catalogo/restaurants/n-1,7
190,https://www.rappi.com.pe/catalogo/restaurants/o-1,7
191,https://www.rappi.com.pe/catalogo/restaurants/p-1,7
192,https://www.rappi.com.pe/catalogo/restaurants/q-1,7
193,https://www.rappi.com.pe/catalogo/restaurants/r-1,7
194,https://www.rappi.com.pe/catalogo/restaurants/s-1,7
195,https://www.rappi.com.pe/catalogo/restaurants/t-1,7
196,https://www.rappi.com.pe/catalogo/restaurants/u-1,7
197,https://www.rappi.com.pe/catalogo/restaurants/v-1,7
198,https://www.rappi.com.pe/catalogo/restaurants/w-1,7
199,https://www.rappi.com.pe/catalogo/restaurants/x-1,7
200,https://www.rappi.com.pe/catalogo/restaurants/y-1,7
201,https://www.rappi.com.pe/catalogo/restaurants/z-1,7
202,https://www.rappi.com.pe/catalogo/restaurants/numeric-1,7
203,https://www.rappi.com.uy/catalogo/restaurants/b-1,8
204,https://www.rappi.com.uy/catalogo/restaurants/c-1,8
205,https://www.rappi.com.uy/catalogo/restaurants/d-1,8
206,https://www.rappi.com.uy/catalogo/restaurants/e-1,8
207,https://www.rappi.com.uy/catalogo/restaurants/f-1,8
208,https://www.rappi.com.uy/catalogo/restaurants/g-1,8
209,https://www.rappi.com.uy/catalogo/restaurants/h-1,8
210,https://www.rappi.com.uy/catalogo/restaurants/i-1,8
211,https://www.rappi.com.uy/catalogo/restaurants/k-1,8
212,https://www.rappi.com.uy/catalogo/restaurants/l-1,8
213,https://www.rappi.com.uy/catalogo/restaurants/m-1,8
214,https://www.rappi.com.uy/catalogo/restaurants/n-1,8
215,https://www.rappi.com.uy/catalogo/restaurants/o-1,8
216,https://www.rappi.com.uy/catalogo/restaurants/p-1,8
217,https://www.rappi.com.uy/catalogo/restaurants/r-1,8
218,https://www.rappi.com.uy/catalogo/restaurants/s-1,8
219,https://www.rappi.com.uy/catalogo/restaurants/t-1,8
220,https://www.rappi.com.uy/catalogo/restaurants/u-1,8
221,https://www.rappi.com.uy/catalogo/restaurants/v-1,8
222,https://www.rappi.com.uy/catalogo/restaurants/w-1,8
223,https://www.rappi.com.uy/catalogo/restaurants/y-1,8
224,https://www.rappi.com.uy/catalogo/restaurants/z-1,8
