id_sucursal,mostraba_opiniones,overral_stars,number_opinions,tiempo_delivery,tipo_envio,dollar_mean_price
160,True,4,26,28.5,Gratis(nuevos usuarios),14.59
161,False,0.0,0,42.5,Gratis(nuevos usuarios),18.67
162,True,4.5,45,44.5,Gratis(nuevos usuarios),17.95
163,False,0.0,0,0.0,Gratis(nuevos usuarios),10.45
164,False,0.0,0,28.5,Gratis(nuevos usuarios),9.07
165,False,0.0,0,0.0,Gratis(nuevos usuarios),5.98
166,False,0.0,0,0.0,Gratis(nuevos usuarios),6.21
167,True,4.3,65,37.5,Gratis(nuevos usuarios),5.66
168,False,0.0,0,0.0,Gratis(nuevos usuarios),6.21
169,False,0.0,0,50.0,Gratis(nuevos usuarios),5.31
170,False,0.0,0,0.0,Gratis(nuevos usuarios),6.21
171,False,0.0,0,0.0,Gratis(nuevos usuarios),6.21
172,True,4.6,241,26.5,Gratis(nuevos usuarios),7.59
173,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
174,False,4.3,59,0.0,Gratis(nuevos usuarios),6.85
175,False,4.3,45,0.0,Gratis(nuevos usuarios),9.89
176,False,0.0,0,0.0,Gratis(nuevos usuarios),4.15
177,False,0.0,0,0.0,Gratis(nuevos usuarios),3.83
178,False,0.0,0,28.5,Gratis(nuevos usuarios),3.83
179,False,0.0,0,0.0,Gratis(nuevos usuarios),3.83
180,False,0.0,0,22.5,Gratis(nuevos usuarios),3.77
181,False,4,22,0.0,Gratis(nuevos usuarios),10.62
182,False,0.0,0,29.5,Gratis(nuevos usuarios),9.12
183,False,3.2,138,0.0,Gratis(nuevos usuarios),13.32
184,True,4.7,140,31.5,Gratis(nuevos usuarios),13.92
185,False,0.0,0,20.5,Gratis(nuevos usuarios),4.08
186,False,0.0,0,42.5,Gratis(nuevos usuarios),4.74
187,False,0.0,0,25.5,Gratis(nuevos usuarios),4.08
188,False,0.0,0,22.5,Gratis(nuevos usuarios),4.08
189,True,4.8,25,42.5,Gratis(nuevos usuarios),10.26
190,False,0.0,0,40.5,Gratis(nuevos usuarios),10.9
191,False,0.0,0,24.5,Gratis(nuevos usuarios),11.82
192,True,4,81,25.5,Gratis(nuevos usuarios),3.25
193,False,0.0,0,0.0,Gratis(nuevos usuarios),4.56
194,False,0.0,0,48.5,Gratis(nuevos usuarios),5.33
195,False,4.2,23,0.0,Gratis(nuevos usuarios),9.88
196,True,4.5,42,33.5,Gratis(nuevos usuarios),10.15
197,False,4.4,62,0.0,Gratis(nuevos usuarios),9.45
198,False,0.0,0,28.5,Gratis(nuevos usuarios),8.46
199,False,4.2,23,0.0,Gratis(nuevos usuarios),3.48
200,False,0.0,0,36.5,Gratis(nuevos usuarios),9.35
201,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
202,True,4.7,96,42.5,Gratis(nuevos usuarios),7.43
203,True,4.9,63,28.5,Gratis(nuevos usuarios),7.62
204,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
205,False,0.0,0,42.5,Gratis(nuevos usuarios),9.5
206,False,3.8,43,0.0,Gratis(nuevos usuarios),6.41
207,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
208,False,0.0,0,0.0,Gratis(nuevos usuarios),19.47
209,False,0.0,0,0.0,Gratis(nuevos usuarios),19.47
210,False,0.0,0,0.0,Gratis(nuevos usuarios),19.47
211,True,3.7,28,18.0,Gratis(nuevos usuarios),17.66
212,False,0.0,0,34.5,Gratis(nuevos usuarios),13.4
213,False,4.5,133,0.0,Gratis(nuevos usuarios),0.0
214,True,4.4,39,32.5,Gratis(nuevos usuarios),12.29
215,True,4.9,45,38.5,Gratis(nuevos usuarios),16.7
216,True,4.9,46,23.5,Gratis(nuevos usuarios),7.5
217,True,4.7,103,42.5,Gratis(nuevos usuarios),6.99
218,True,4.7,76,30.5,Gratis(nuevos usuarios),7.52
219,True,4.6,32,42.5,Gratis(nuevos usuarios),8.59
220,False,0.0,0,0.0,Gratis(nuevos usuarios),8.59
221,True,4.3,27,42.5,Gratis(nuevos usuarios),8.84
222,False,0.0,0,0.0,Gratis(nuevos usuarios),6.84
223,False,4.6,90,0.0,Gratis(nuevos usuarios),9.19
224,False,0.0,0,42.5,Gratis(nuevos usuarios),8.26
225,True,4.6,55,18.5,Gratis(nuevos usuarios),7.52
226,True,4.5,55,29.5,Gratis(nuevos usuarios),8.03
227,True,4.7,32,42.5,Gratis(nuevos usuarios),8.73
228,True,4.3,40,26.5,Gratis(nuevos usuarios),8.1
229,False,4.6,66,0.0,Gratis(nuevos usuarios),7.83
230,False,0.0,0,0.0,Gratis(nuevos usuarios),8.47
231,True,4.7,29,32.5,Gratis(nuevos usuarios),9.01
232,False,0.0,0,0.0,Gratis(nuevos usuarios),7.19
233,True,4.8,37,32.5,Gratis(nuevos usuarios),9.94
234,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
235,False,0.0,0,0.0,Gratis(nuevos usuarios),9.77
236,False,0.0,0,0.0,Gratis(nuevos usuarios),9.77
237,False,4.7,210,0.0,Gratis(nuevos usuarios),9.78
238,True,4.6,42,32.5,Gratis(nuevos usuarios),13.16
239,False,0.0,0,0.0,Gratis(nuevos usuarios),9.9
240,False,0.0,0,42.5,Gratis(nuevos usuarios),6.71
241,False,4.7,45,0.0,Gratis(nuevos usuarios),8.23
242,False,0.0,0,30.5,Gratis(nuevos usuarios),9.7
243,True,3.7,41,37.5,Gratis(nuevos usuarios),8.71
244,False,0.0,0,0.0,Gratis(nuevos usuarios),8.82
245,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
246,False,0.0,0,0.0,Gratis(nuevos usuarios),8.7
247,False,0.0,0,0.0,Gratis(nuevos usuarios),8.72
248,False,0.0,0,0.0,Gratis(nuevos usuarios),12.55
249,False,4.2,26,0.0,Gratis(nuevos usuarios),0.0
250,False,4.8,123,0.0,Gratis(nuevos usuarios),0.0
251,True,4.6,59,42.5,Gratis(nuevos usuarios),7.39
252,False,0.0,0,25.5,Gratis(nuevos usuarios),13.93
253,True,4.4,67,35.5,Gratis(nuevos usuarios),7.32
254,False,0.0,0,0.0,Gratis(nuevos usuarios),10.71
255,False,0.0,0,0.0,Gratis(nuevos usuarios),5.24
256,False,0.0,0,25.5,Gratis(nuevos usuarios),9.69
257,False,0.0,0,31.5,Gratis(nuevos usuarios),6.9
258,False,0.0,0,0.0,Gratis(nuevos usuarios),0.0
259,False,0.0,0,0.0,Gratis(nuevos usuarios),8.75
260,True,4.2,234,34.5,Gratis(nuevos usuarios),10.58
261,True,4.3,31,27.5,Gratis(nuevos usuarios),10.4
262,True,4.5,217,41.5,Gratis(nuevos usuarios),8.8
263,True,4.5,53,23.5,Gratis(nuevos usuarios),7.8
264,True,4,46,22.5,Gratis(nuevos usuarios),7.72
265,True,4.1,49,42.5,Gratis(nuevos usuarios),8.05
266,False,0.0,0,0.0,Gratis(nuevos usuarios),9.29
267,False,0.0,0,0.0,Gratis(nuevos usuarios),9.28
268,True,4,386,37.5,Gratis(nuevos usuarios),11.78
