id_cadena,nombre_cadena,url_cadena,id_pais
168,Wingman,https://www.rappi.com.pe/restaurantes/delivery/5288-wingman,7
169,Wasabi,https://www.rappi.com.pe/restaurantes/delivery/6095-wasabi,7
170,Wings Club,https://www.rappi.com.pe/restaurantes/delivery/6152-wings-club,7
171,Wafel Pop,https://www.rappi.com.pe/restaurantes/delivery/8379-wafel-pop,7
172,Wilton´s,https://www.rappi.com.pe/restaurantes/delivery/8693-wiltons,7
173,Wua Bao - Asian Street Food,https://www.rappi.com.pe/restaurantes/delivery/10285-wua-bao-asian-street-food,7
174,Wings and Pork,https://www.rappi.com.pe/restaurantes/delivery/12282-wings-and-pork,7
175,Wrap & Roll,https://www.rappi.com.pe/restaurantes/delivery/12961-wrap-roll,7
176,Wing Factory,https://www.rappi.com.pe/restaurantes/delivery/13151-wing-factory,7
177,Waka Grill,https://www.rappi.com.pe/restaurantes/delivery/14757-waka-grill,7
178,Wraps To Go,https://www.rappi.com.pe/restaurantes/delivery/17732-wraps-to-go,7
179,Wing House,https://www.rappi.com.pe/restaurantes/delivery/23121-wing-house,7
180,WRAP-ANDO,https://www.rappi.com.pe/restaurantes/delivery/23137-wrap-ando,7
181,Wing`s Snack-Bar,https://www.rappi.com.pe/restaurantes/delivery/23458-wing-s-snack-bar,7
182,Will and Bill,https://www.rappi.com.pe/restaurantes/delivery/27148-will-and-bill,7
183,Vekia Pastelería,https://www.rappi.com.pe/restaurantes/delivery/5430-vekia-pasteleria,7
184,Viet,https://www.rappi.com.pe/restaurantes/delivery/5529-viet,7
185,Villa Chicken,https://www.rappi.com.pe/restaurantes/delivery/6092-villa-chicken,7
186,Vive Mexico,https://www.rappi.com.pe/restaurantes/delivery/6660-vive-mexico,7
187,Vital Foods,https://www.rappi.com.pe/restaurantes/delivery/6967-vital-foods,7
188,Vive la Crepe,https://www.rappi.com.pe/restaurantes/delivery/6987-vive-la-crepe,7
189,Vero´s Pasteleria,https://www.rappi.com.pe/restaurantes/delivery/7884-veros-pasteleria,7
190,Vaya Caldo,https://www.rappi.com.pe/restaurantes/delivery/9658-vaya-caldo,7
191,Valentino Cafe,https://www.rappi.com.pe/restaurantes/delivery/12987-valentino-cafe,7
192,Vamos con Toro,https://www.rappi.com.pe/restaurantes/delivery/14578-vamos-con-toro,7
193,Vera Pasteleria Artesanal,https://www.rappi.com.pe/restaurantes/delivery/14790-vera-pasteleria-artesanal,7
194,Valentini Pizza,https://www.rappi.com.pe/restaurantes/delivery/14821-valentini-pizza,7
195,Vida Market Cafe,https://www.rappi.com.pe/restaurantes/delivery/18578-vida-market-cafe,7
196,Vitocho Burgers Piqueos Drinks,https://www.rappi.com.pe/restaurantes/delivery/21839-vitocho-burgers-piqueos-drinks,7
197,VIKINGO,https://www.rappi.com.pe/restaurantes/delivery/22666-vikingo,7
198,Uptown Pizza,https://www.rappi.com.pe/restaurantes/delivery/5479-uptown-pizza,7
199,Umari,https://www.rappi.com.pe/restaurantes/delivery/7752-umari,7
200,UMO,https://www.rappi.com.pe/restaurantes/delivery/12159-umo,7
201,Uriramen,https://www.rappi.com.pe/restaurantes/delivery/12457-uriramen,7
202,Uptown Salad,https://www.rappi.com.pe/restaurantes/delivery/12978-uptown-salad,7
203,Urban Pizza Delivery,https://www.rappi.com.pe/restaurantes/delivery/14380-urban-pizza-delivery,7
204,Uke Mochi Sushi Fusión,https://www.rappi.com.pe/restaurantes/delivery/14743-uke-mochi-sushi-fusion,7
205,Urban Grill,https://www.rappi.com.pe/restaurantes/delivery/14940-urban-grill,7
206,Unreal Burger,https://www.rappi.com.pe/restaurantes/delivery/17641-unreal-burger,7
207,Up Burger,https://www.rappi.com.pe/restaurantes/delivery/21930-up-burger,7
208,Urku-Hamburguesas Artesanales,https://www.rappi.com.pe/restaurantes/delivery/23705-urku-hamburguesas-artesanales,7
209,Ufo Asian Food,https://www.rappi.com.pe/restaurantes/delivery/25896-ufo-asian-food,7
210,Tip Top,https://www.rappi.com.pe/restaurantes/delivery/3954-tip-top,7
211,Taco Bell,https://www.rappi.com.pe/restaurantes/delivery/4230-taco-bell,7
212,Toku - Sushi,https://www.rappi.com.pe/restaurantes/delivery/5338-toku-sushi,7
213,Tony Roma's,https://www.rappi.com.pe/restaurantes/delivery/5507-tony-roma-s,7
214,Tsunami Sushi Bar,https://www.rappi.com.pe/restaurantes/delivery/5707-tsunami-sushi-bar,7
215,The Chocolate Brownie,https://www.rappi.com.pe/restaurantes/delivery/5755-the-chocolate-brownie,7
216,TU-sushi-GO,https://www.rappi.com.pe/restaurantes/delivery/5774-tu-sushi-go,7
217,Terminal Fusión,https://www.rappi.com.pe/restaurantes/delivery/5805-terminal-fusion,7
218,Trattoria Mamma Lola,https://www.rappi.com.pe/restaurantes/delivery/6164-trattoria-mamma-lola,7
219,The Eco Friendly Pizza,https://www.rappi.com.pe/restaurantes/delivery/6324-the-eco-friendly-pizza,7
220,Trattoria y Pizzeria Napoli,https://www.rappi.com.pe/restaurantes/delivery/6350-trattoria-y-pizzeria-napoli,7
221,The Coffee Road,https://www.rappi.com.pe/restaurantes/delivery/6366-the-coffee-road,7
222,The Coffee House,https://www.rappi.com.pe/restaurantes/delivery/6389-the-coffee-house,7
223,Tanta,https://www.rappi.com.pe/restaurantes/delivery/6438-tanta,7
224,Tortas Lucas,https://www.rappi.com.pe/restaurantes/delivery/6503-tortas-lucas,7
225,Tinajas,https://www.rappi.com.pe/restaurantes/delivery/6632-tinajas,7
226,The Chocolate Corner,https://www.rappi.com.pe/restaurantes/delivery/6675-the-chocolate-corner,7
227,Tiradito Barra Cevichera,https://www.rappi.com.pe/restaurantes/delivery/7207-tiradito-barra-cevichera,7
228,Ten Ren Bubble Tea,https://www.rappi.com.pe/restaurantes/delivery/7240-ten-ren-bubble-tea,7
229,Ta´art Pastelería,https://www.rappi.com.pe/restaurantes/delivery/7508-taart-pasteleria,7
230,Tu Chicha Venezolana,https://www.rappi.com.pe/restaurantes/delivery/7585-tu-chicha-venezolana,7
231,Tunki Katari,https://www.rappi.com.pe/restaurantes/delivery/8007-tunki-katari,7
232,Tierra Santa,https://www.rappi.com.pe/restaurantes/delivery/8023-tierra-santa,7
233,Tu Candela,https://www.rappi.com.pe/restaurantes/delivery/8073-tu-candela,7
234,Thomas,https://www.rappi.com.pe/restaurantes/delivery/8226-thomas,7
235,Tequecheese,https://www.rappi.com.pe/restaurantes/delivery/8398-tequecheese,7
236,Taco Loco,https://www.rappi.com.pe/restaurantes/delivery/9175-taco-loco,7
237,Trattoria Don Angelo,https://www.rappi.com.pe/restaurantes/delivery/9328-trattoria-don-angelo,7
238,Tanuki,https://www.rappi.com.pe/restaurantes/delivery/9441-tanuki,7
239,The Rolling Wok,https://www.rappi.com.pe/restaurantes/delivery/9473-the-rolling-wok,7
240,Trattoria Roma,https://www.rappi.com.pe/restaurantes/delivery/9532-trattoria-roma,7
241,Tuna Truck,https://www.rappi.com.pe/restaurantes/delivery/9807-tuna-truck,7
